"TicketID","Resolution"
"1505109","From: Mendoza, Bet [mailto:B.Mendoza@fordfoundation.org]   Sent: Thursday, July 24, 2014 9:38 PM  To: Vinoth Balakrishnan  Cc: Bijo Chacko; Rakesh Neelakandan; Sethumathavan Gopinathan; Sivaguru Pasupathy; Sundar, Flint; Chandra S; Gsmc FordFoundation (SA); Roth, David; Markover, Wayne; GlobalServiceDesk; Poole, Gary; IMSShared_WindowsTeam  Subject: RE: Resolved Notification - 1504992 - Ford Foundation,New-Jersey,New Jersey,US - FORDFOUNDATION-FFSMQ0211.fordfound.org-FFSMQ0211 Win32 WindowsServer-Scribe AdminServer-Down #1505109    Thank you for the information.    Regards,     Bet ♥  From: Vinoth Balakrishnan [mailto:Vinoth_Balakrishnan@mindtree.com]   Sent: Thursday, July 24, 2014 12:04 PM  To: Mendoza, Bet  Cc: Bijo Chacko; Rakesh Neelakandan; Sethumathavan Gopinathan; Sivaguru Pasupathy; Sundar, Flint; Chandra S; Gsmc FordFoundation (SA); Roth, David; Markover, Wayne; GlobalServiceDesk; Poole, Gary; IMSShared_WindowsTeam  Subject: RE: Resolved Notification - 1504992 - Ford Foundation,New-Jersey,New Jersey,US - FORDFOUNDATION-FFSMQ0211.fordfound.org-FFSMQ0211 Win32 WindowsServer-Scribe AdminServer-Down #1505109    Hi Bet ,    As we verified the logs in server , we found account is getting locked in FFSMQ0211 where the Scribe services is running in S.Scribe account. Usually 4771 events will be logged due to bad password attempt. If it reoccurs,  we can clear the credential manager and reconfigure the service with the same account. Thanks          Best Regards  Vinoth B  Windows Operations  +9144-33711118"
"1499278","user was able to copy paste the data. issue resolved"
"1498552","The fordnet database server issue is fixed. Hence we are resolving this ticket."
"1497842","User confirmed the issue has been resolved. Hence closing this ticket."
"1492490","system center pop up  which requests for a restart. advised user to reboot the machine as that is the ford sytem center popup."
"1489235","Coordinated with Anthony and allowed the DLLs permanently in BIT9 for GBS server. User is able to access the DLLs when the server is in high enforcement. Hence resolving this ticket."
"1487744","GSD engineer recreated his email profile and it appears to be working normally again. Hence resolving ticket with user confirmation."
"1487044","To resolve this issue--I was forced to login with the local admin account (ffadmin), remove the PC from the domain--then restore it to the domain."
"1484244","There was an issue physically with the workstation. The workstation has been swapped and the user confirmed that he was then able to successfully log in."
"1477588","The workstation was re-joined to the domain in accordance to the request."
"1474417","CRM rollup 11 has been installed .With user confirmation resolving this ticket"
"1471614","IE 64bit version is not supported with fordnet sharepoint access. We have removed the 64bit version from taskbar and pin the 32bit version was fixed the issue. Hence resolving this ticket with user confirmation."
"1466553","Informed the George to use the IE9 for the ADP and he was successfully able to login the ADP. Hence resolving this ticket with user confirmation We found some java error is coming up and we need some more time to check this issue. User agreed he will call later in case of any other issues."
"1466468","User is fine using the online webex interface  instead of the desktop application,with users permission resolving this ticket."
"1460207","Vendor confirmed that the VPN is not supported in Windows Server 2008 R2. Please use the desktop operating system to work with the VPN application. Hence resolving this ticket."
"1458056","user is able to access the shared drive"
"1442471","Resolving ticket as per the mail confirmation from user"
"1437793","From: Vinoth Balakrishnan   Sent: Thursday, June 26, 2014 7:13 PM  To: GlobalServiceDesk  Cc: &#039;Sun, Qinghua&#039;; &#039;Zhao, Kevin&#039;; IMSShared_WindowsTeam; Sivaguru Pasupathy  Subject: RE: ffext-52-203- C drive disk alert    Hi Team ,    We found ADM_GBS account is getting locked in FFEXT-52-202 machine . Please clear password if it saved anywhere in the machine because we can see bad password hit on the server .    Since it is cyberark account and If the password is getting changed in regular interval , disconnected sessions without logoff will cause the account lockout during next password change interval. Thanks .       Best Regards  Vinoth B  Windows Operations    E-Mail       : Vinoth_balakrishnan@mindtree.com   Follow us: www.mindtree.com/social"
"1431644","This ticket has been already taken care by RIM team. Hence resolving this long pending ticket."
"1430904","Account unlocked and resolving ticket with user confirmation."
"1417811","Hi Oliver,     Smart connect has been successfully installed on server FFSMQ0504."
"1416812","This issue has been taken care by Bill. Hence we are resolving this ticket."
"1416742","Informed user over phone that the account is unlocked. Hence resolving ticket."
"1416722","End user informed to resolve the ticket hence resolving the ticket with user confirmation"
"1415219","Received confirmation call from Mitali that she found her device."
"1413929","Recreated the account was fixed the issue. Hence resolving this ticket."
"1412387","This email is a part of &#039;PhishMe&#039; campaign."
"1411993","As checked the accounts forgotmypassword and fordfoundationdonotreply has been removed from AD. The service accounts has been re-created and mailbox also restored. Received confirmation from Qinghua."
"1409050","Received confirmation mail from Bet that she is now able to access CISCO AnyConnect VPN from her laptop."
"1405231","Informed henry to restart the workstation in order to restart the network services. This was successfully resolved the issue. Hence closing this ticket."
"1396934","Resolving ticket as per the mail from Cary stating that the issue cannot be replicated."
